generate_application,generate_source_code,generate_how_to,generate_creative_work,generate_faq,generate_breadcrumb,generate_speakable,generate_review,generate_aggregate_rating,generate_video_object,generate_course,generate_job_posting,generate_collection_page,category_display_name,application_sub_category,default_keywords,default_requirements,creative_work_description,active,created_at,updated_at,generate_learning_resource,generate_item_list,category
false,false,false,false,false,true,false,false,false,false,false,false,false,Jobs,Job Posting,"[""Claude Job"",""AI Job"",""Developer Position""]",[],Job posting,true,2025-10-28 23:09:48.142731+00,2025-11-20 08:04:15.621403+00,false,false,jobs
false,false,false,true,false,true,false,false,false,false,false,false,false,Changelog,Changelog Entry,"[""Claude Changelog"",""Updates"",""Release Notes""]",[],Changelog entry,true,2025-10-28 23:09:48.142731+00,2025-11-20 08:04:15.621403+00,false,false,changelog
false,false,true,false,false,true,true,false,false,false,false,false,false,Skills,null,"[""Skill"",""Learning"",""Development"",""Tutorial""]","[""Claude Code"",""Text Editor""]",Skill guide and examples,true,2025-10-28 23:09:48.142731+00,2026-01-11 20:48:57.4267+00,true,false,skills
false,false,false,false,false,true,false,false,false,false,false,false,true,Collections,null,"[""Collection"",""Resources"",""Curated""]",[],Curated collection of configurations,true,2025-10-28 23:09:48.142731+00,2026-01-11 20:48:57.4267+00,false,false,collections
false,false,false,true,false,true,false,false,false,false,false,false,false,Guides,null,"[""Guide"",""Tutorial"",""Documentation"",""Learning""]",[],Step-by-step guide,true,2025-10-28 23:09:48.142731+00,2026-01-11 20:48:57.4267+00,true,false,guides
true,false,false,false,false,true,true,false,false,false,false,false,false,AI Agents,AI Development Tool,"[""AI"",""Claude"",""Agent"",""Automation""]","[""Claude Code"",""Text Editor""]",Agent system prompt and instructions,true,2025-10-28 23:09:48.142731+00,2026-01-11 20:48:57.4267+00,false,false,agents
true,false,false,false,false,true,false,false,false,false,false,false,false,MCP Servers,Developer Tool,"[""MCP"",""Claude"",""Server"",""Integration""]","[""Claude Code"",""Text Editor""]",MCP server configuration,true,2025-10-28 23:09:48.142731+00,2026-01-11 20:48:57.4267+00,false,false,mcp
false,false,false,true,false,true,true,false,false,false,false,false,false,Claude Rules,null,"[""Claude"",""Rules"",""Development"",""Guidelines""]","[""Claude Code"",""Text Editor""]",Technical documentation and guides for Claude AI rules (CLAUDE.md files),true,2025-10-28 23:09:48.142731+00,2026-01-11 20:48:57.4267+00,false,true,rules
false,true,true,false,false,true,false,false,false,false,false,false,false,Commands,null,"[""Command"",""CLI"",""Development"",""Automation""]","[""Terminal"",""Command Line""]",Command template,true,2025-10-28 23:09:48.142731+00,2026-01-11 20:48:57.4267+00,false,false,commands
false,true,true,false,false,true,false,false,false,false,false,false,false,Hooks,null,"[""Hook"",""Development"",""Automation""]","[""Claude Code"",""Text Editor""]",Hook automation script,true,2025-10-28 23:09:48.142731+00,2026-01-11 20:48:57.4267+00,false,false,hooks
true,false,false,false,false,true,false,false,false,false,false,false,false,Status Lines,Developer Tool,"[""Statusline"",""UI"",""Development""]","[""Claude Code"",""Text Editor""]",Statusline display script,true,2025-10-28 23:09:48.142731+00,2026-01-11 20:48:57.4267+00,false,false,statuslines